"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6907","04 Login with invalid username and password","chromium","2026-06-10","passed","2026-06-10","","login.spec.js","",""
"","26077","02 Select product under phones and purchase","chromium","2026-06-10","passed","2026-06-10","","purchase.spec.js","",""
"","9418","01 Login with valid username and password","chromium","2026-06-10","passed","2026-06-10","","login.spec.js","",""
"","7616","02 Signup and close","chromium","2026-06-10","passed","2026-06-10","","signup.spec.js","",""
"","7319","01 Signup as new user","chromium","2026-06-10","passed","2026-06-10","","signup.spec.js","",""
"","10786","05 Login and Logout","chromium","2026-06-10","passed","2026-06-10","","login.spec.js","",""
"","7735","02 Login with Invalid username and valid password","chromium","2026-06-10","passed","2026-06-10","","login.spec.js","",""
"","16016","01 Select product add to cart click ok","chromium","2026-06-10","passed","2026-06-10","","purchase.spec.js","",""
"","26403","03 Select product under Monitors and purchase","chromium","2026-06-10","passed","2026-06-10","","purchase.spec.js","",""
"","7078","03 Login with valid username and Invalid password","chromium","2026-06-10","passed","2026-06-10","","login.spec.js","",""
